station_id,x,y,epsg,location,province
GÚDAR,693464.9862927399,4479228.961417212,25830,Gúdar,Teruel
HIGUERUELA,635762.9911175183,4313378.976673492,25830,Higueruela,Albacete
IBI,711568.9708017416,4278631.054275943,25830,Ibi,Alicante
LA CARRASCA-PEGO,745061.0386905276,4301708.965700017,25830,Vall de Gallinera,Alicante
LA CIERVA,598072.04071927,4434703.959301311,25830,La Cierva,Cuenca
LA CUEVA SANTA,704707.4916469946,4413125.035797344,25830,Altura,Castellón
LA CUEVARRUZ,672208.995370545,4422567.019926454,25830,Alpuente,Valencia
LA RODA,573125.0157389676,4340604.974627314,25830,La Roda,Albacete
LAGUNA DEL MARQUESADO,613036.9732359978,4448292.976837806,25830,Laguna del Marquesado,Cuenca
LANDETE,638341.0285704116,4420551.027673712,25830,Landete,Cuenca
LUCENA DEL CID,730677.0125039906,4446703.95161165,25830,Lucena del Cid,Castellón
MC ALCALALÍ,755369.9865493358,4294184.014668156,25830,Murla,Alicante
MC ATZENETA DEL MAESTRAT,743214.9717564789,4458910.985097834,25830,Atzeneta del Maestrat,Castellón
MC BARRANCO DE LA CASELLA,721048.0161412725,4336252.020413568,25830,Alzira,Valencia
MC BARRANCO MALET (VACA),733003.4918206765,4327029.3741316805,25830,Simat de la Valldigna,Valencia
MC CALLOSA ALGAR,752448.0086516548,4282567.0232175,25830,Callosa d'en Sarrià,Alicante
MC CÀRCER,710215.2345154663,4326589.860244119,25830,Càrcer,Valencia
MC CARRAIXET BÉTERA,716998.8164976557,4387165.5990134105,25830,Bétera,Valencia
MC CASTELLÓ,714815.6248091686,4326998.897315471,25830,Castelló,Valencia
MC CERVERA DEL MAESTRE,779902.9956413466,4484957.979660814,25830,Cervera del Maestre,Castellón
MC CHINCHILLA,606338.8321910067,4302450.329544955,25830,Chinchilla,Albacete
MC ELDA,691843.977435672,4261394.957104317,25830,Elda,Alicante
MC ESTUBENY,705849.999641309,4321604.017205164,25830,Estubeny,Valencia
MC FORMICHE ALTO,678976.0800053828,4465703.247694021,25830,Formiche Alto,Teruel
MC GALLINERA L'ATZÚBIA,744032.9983735862,4302800.042697804,25830,L'Atzúbia,Alicante
MC MANUEL,716736.6607858542,4324339.448575824,25830,Manuel,Valencia
MC MOIXENT,694029.960809857,4304791.012039449,25830,Moixent,Valencia
MC MURO DE ALCOI,724619.0054924792,4295552.041087744,25830,Muro de Alcoi,Alicante
MC MUTXAMEL,722045.964668361,4257364.002780527,25830,Mutxamel,Alicante
MC ONTINYENT,707892.6231851298,4300322.68717969,25830,Ontinyent,Valencia
MC QUINTANAR DEL REY,591984.0067971947,4356508.978777183,25830,Quintanar del Rey,Cuenca
MC RAMBLA CASTELLANA,700635.277587445,4389085.031563716,25830,Pedralba,Valencia
MC RAMBLA POYO N-III,707809.8533295827,4372099.992135853,25830,Riba-roja,Valencia
MC REAL,707733.3929449405,4355522.819891221,25830,Real,Valencia
MC SALVACAÑETE,627467.964358727,4440706.95648897,25830,Salvacañete,Cuenca
MC TRAIGUERA,782271.0417298134,4495197.963695335,25830,Traiguera,Castellón
MC TURÍS,697415.0246363209,4357669.022024238,25830,Turís,Valencia
MC VALL D'ALBA,748614.9904308382,4453828.952736791,25830,Vall d'Alba,Castellón
MC VERNISSA,738672.03910151,4313275.976320874,25830,Rótova,Valencia
MC VILAMARXANT,704384.8913075638,4384007.894555581,25830,Vilamarxant,Valencia
MC VILLATOYA,643511.0350049243,4354796.049558539,25830,Villatoya,Albacete
MILLARES,695854.0177909131,4343936.9582759505,25830,Millares,Valencia
MILLENA,728849.0295297685,4290239.034781348,25830,Millena,Alicante
MOSQUERUELA,717246.9865420761,4470899.001659947,25830,Mosqueruela,Teruel
NOGUERUELAS,701127.0379430484,4456444.977633077,25830,Nogueruelas,Teruel
PARADA 14 - PICASSENT,717018.5126379338,4363458.523635333,25830,Picassent,Valencia
PEÑA DEL CUERNO,750639.6819285903,4441998.9025760805,25830,Vilafamés,Castellón
PINA,702381.9851114028,4433623.995130315,25830,Pina de Montalgrao,Castellón
PINET,730845.9644053702,4318450.979474781,25830,Pinet,Valencia
PORTACELI,716100.7841834128,4395736.276480374,25830,Serra,Valencia
PUERTOMINGALVO,715814.8272728437,4459714.497527939,25830,Puertomingalvo,Teruel
SARRATELLA,757619.0080231574,4465491.9954325855,25830,Sarratella,Castellón
SAX,690315.9995321552,4272513.96303334,25830,Sax,Alicante
SERRA GELADA,756021.9794483469,4271631.050669938,25830,l'Alfás del Pi,Alicante
SERRA GROSSA,702060.0289582566,4303690.051705676,25830,Vallada,Valencia
SERRA SIT,698329.9810792699,4257940.949362536,25830,Petrer,Alicante
SIERRA AVE,692952.02274765,4351362.950822377,25830,Dos Aguas,Valencia
SIETE AGUAS,680666.0231111671,4373131.04492279,25830,Siete Aguas,Valencia
SOT DE FERRER,721747.7674090622,4409200.427683206,25830,Sot de Ferrer,Castellón
TALAYUELO,579374.0075134754,4422857.028157572,25830,Arcas de Villar,Cuenca
TANCAT DE LA PIPA,728585.4040088308,4360134.870698724,25830,Valencia,Valencia
TÍO CALORES,580545.980515389,4391480.96070889,25830,Barchín del Hoyo,Cuenca
TORRE MACANES,724804.012869108,4276583.9471596535,25830,Torre de les Maçanes,Alicante
TORRIJAS,671507.6737706454,4435549.4994388595,25830,Torrijas,Teruel
